Fecha y Hora;Nombre Central;Generación Real (MWh)
24-07-2023 4:00;PFV ANDES SOLAR II-B;0
24-07-2023 5:00;PFV ANDES SOLAR II-B;0
24-07-2023 6:00;PFV ANDES SOLAR II-B;0
24-07-2023 7:00;PFV ANDES SOLAR II-B;0
24-07-2023 8:00;PFV ANDES SOLAR II-B;3
24-07-2023 9:00;PFV ANDES SOLAR II-B;41
24-07-2023 10:00;PFV ANDES SOLAR II-B;100
24-07-2023 11:00;PFV ANDES SOLAR II-B;97
24-07-2023 12:00;PFV ANDES SOLAR II-B;90
24-07-2023 13:00;PFV ANDES SOLAR II-B;65
24-07-2023 14:00;PFV ANDES SOLAR II-B;10
24-07-2023 15:00;PFV ANDES SOLAR II-B;10
24-07-2023 16:00;PFV ANDES SOLAR II-B;10
24-07-2023 17:00;PFV ANDES SOLAR II-B;10
24-07-2023 18:00;PFV ANDES SOLAR II-B;8
24-07-2023 19:00;PFV ANDES SOLAR II-B;96
24-07-2023 20:00;PFV ANDES SOLAR II-B;102
24-07-2023 21:00;PFV ANDES SOLAR II-B;102
24-07-2023 22:00;PFV ANDES SOLAR II-B;102
24-07-2023 23:00;PFV ANDES SOLAR II-B;22
24-07-2023 23:59;PFV ANDES SOLAR II-B;0
25-07-2023 1:00;PFV ANDES SOLAR II-B;0
25-07-2023 2:00;PFV ANDES SOLAR II-B;0
25-07-2023 3:00;PFV ANDES SOLAR II-B;0
25-07-2023 4:00;PFV ANDES SOLAR II-B;0
25-07-2023 5:00;PFV ANDES SOLAR II-B;0
25-07-2023 6:00;PFV ANDES SOLAR II-B;0
25-07-2023 7:00;PFV ANDES SOLAR II-B;0
25-07-2023 8:00;PFV ANDES SOLAR II-B;3
25-07-2023 9:00;PFV ANDES SOLAR II-B;31
25-07-2023 10:00;PFV ANDES SOLAR II-B;29
25-07-2023 11:00;PFV ANDES SOLAR II-B;10
25-07-2023 12:00;PFV ANDES SOLAR II-B;10
25-07-2023 13:00;PFV ANDES SOLAR II-B;10
25-07-2023 14:00;PFV ANDES SOLAR II-B;10
25-07-2023 15:00;PFV ANDES SOLAR II-B;10
25-07-2023 16:00;PFV ANDES SOLAR II-B;19
25-07-2023 17:00;PFV ANDES SOLAR II-B;30
25-07-2023 18:00;PFV ANDES SOLAR II-B;15
25-07-2023 19:00;PFV ANDES SOLAR II-B;96
25-07-2023 20:00;PFV ANDES SOLAR II-B;100
25-07-2023 21:00;PFV ANDES SOLAR II-B;100
25-07-2023 22:00;PFV ANDES SOLAR II-B;100
25-07-2023 23:00;PFV ANDES SOLAR II-B;24
25-07-2023 23:59;PFV ANDES SOLAR II-B;0
26-07-2023 1:00;PFV ANDES SOLAR II-B;0
26-07-2023 2:00;PFV ANDES SOLAR II-B;0
